1|"m"|"yard"|6
2|"inch"|"cm"|6
3|"EUR"|"HUF"|3
4|"pint"|"dm**3"|14
5|"EUR"|"CHF"|3
6|"EUR"|"PLN"|3
7|"CZK"|"EUR"|3
8|\N|\N|1
9|"m"|"km"|6
10|"cup"|"dl"|14
11|"inch"|"dm"|6
12|\N|\N|15
13|"dm**3"|"cup"|14
14|"ft**2"|"dm**2"|12
15|"km**2"|"mile**2"|12
16|"m"|"ft"|6
17|"yard**3"|"m**3"|14
18|"dl"|"pint"|14
19|"degC"|"kelvin"|13
20|"mile**2"|"are"|12
21|"ft"|"dm"|6
22|"EUR"|"RUB"|3
23|"EUR"|"USD"|3
24|"are"|"acre"|12
25|"CZK"|"RUB"|3
26|"degF"|"degC"|13
27|"m**2"|"yard**2"|12
28|"CZK"|"PLN"|3
29|"m**2"|"ft**2"|12
30|"CZK"|"GBP"|3
31|"tbsp"|"dl"|14
32|"dm**3"|"tbsp"|14
33|"m**3"|"ft**3"|14
34|"CZK"|"USD"|3
35|"EUR"|"GBP"|3
36|"dm**3"|"inch**3"|14
37|"quart"|"dm**3"|14
38|"degF"|"kelvin"|13
39|"acre"|"km**2"|12
40|"cm**2"|"inch**2"|12
41|\N|\N|11
42|"CZK"|"CHF"|3
43|"km"|"mile"|6
44|"CZK"|"HUF"|3
45|\N|\N|7
46|\N|\N|8
47|\N|\N|10
48|\N|\N|5
50|\N|\N|9
